"","GEOID","NAME","variable","estimate","moe"
"1","01001","Autauga County, Alabama","B15003_001",36757,117
"2","01003","Baldwin County, Alabama","B15003_001",143022,201
"3","01005","Barbour County, Alabama","B15003_001",18434,72
"4","01007","Bibb County, Alabama","B15003_001",15859,173
"5","01009","Blount County, Alabama","B15003_001",39475,120
"6","01011","Bullock County, Alabama","B15003_001",7377,176
"7","01013","Butler County, Alabama","B15003_001",13958,24
"8","01015","Calhoun County, Alabama","B15003_001",78975,120
"9","01017","Chambers County, Alabama","B15003_001",23698,144
"10","01019","Cherokee County, Alabama","B15003_001",18797,107
"11","01021","Chilton County, Alabama","B15003_001",29697,204
"12","01023","Choctaw County, Alabama","B15003_001",9449,NA
"13","01025","Clarke County, Alabama","B15003_001",16921,NA
"14","01027","Clay County, Alabama","B15003_001",9455,109
"15","01029","Cleburne County, Alabama","B15003_001",10387,76
"16","01031","Coffee County, Alabama","B15003_001",34736,112
"17","01033","Colbert County, Alabama","B15003_001",38423,96
"18","01035","Conecuh County, Alabama","B15003_001",8772,97
"19","01037","Coosa County, Alabama","B15003_001",8117,109
"20","01039","Covington County, Alabama","B15003_001",26416,116
"21","01041","Crenshaw County, Alabama","B15003_001",9588,69
"22","01043","Cullman County, Alabama","B15003_001",56720,175
"23","01045","Dale County, Alabama","B15003_001",33288,116
"24","01047","Dallas County, Alabama","B15003_001",26849,67
"25","01049","DeKalb County, Alabama","B15003_001",47694,140
"26","01051","Elmore County, Alabama","B15003_001",55278,131
"27","01053","Escambia County, Alabama","B15003_001",25896,111
"28","01055","Etowah County, Alabama","B15003_001",71745,195
"29","01057","Fayette County, Alabama","B15003_001",11715,96
"30","01059","Franklin County, Alabama","B15003_001",20734,166
"31","01061","Geneva County, Alabama","B15003_001",18666,86
"32","01063","Greene County, Alabama","B15003_001",5830,47
"33","01065","Hale County, Alabama","B15003_001",10161,59
"34","01067","Henry County, Alabama","B15003_001",12123,100
"35","01069","Houston County, Alabama","B15003_001",71238,42
"36","01071","Jackson County, Alabama","B15003_001",37016,151
"37","01073","Jefferson County, Alabama","B15003_001",447048,109
"38","01075","Lamar County, Alabama","B15003_001",9938,79
"39","01077","Lauderdale County, Alabama","B15003_001",63168,125
"40","01079","Lawrence County, Alabama","B15003_001",23370,151
"41","01081","Lee County, Alabama","B15003_001",92452,97
"42","01083","Limestone County, Alabama","B15003_001",63026,242
"43","01085","Lowndes County, Alabama","B15003_001",7065,45
"44","01087","Macon County, Alabama","B15003_001",12280,60
"45","01089","Madison County, Alabama","B15003_001",239756,62
"46","01091","Marengo County, Alabama","B15003_001",13557,138
"47","01093","Marion County, Alabama","B15003_001",21406,104
"48","01095","Marshall County, Alabama","B15003_001",63248,70
"49","01097","Mobile County, Alabama","B15003_001",275878,150
"50","01099","Monroe County, Alabama","B15003_001",14794,81
"51","01101","Montgomery County, Alabama","B15003_001",149318,53
"52","01103","Morgan County, Alabama","B15003_001",82094,93
"53","01105","Perry County, Alabama","B15003_001",5858,181
"54","01107","Pickens County, Alabama","B15003_001",14241,91
"55","01109","Pike County, Alabama","B15003_001",19657,262
"56","01111","Randolph County, Alabama","B15003_001",15594,126
"57","01113","Russell County, Alabama","B15003_001",38710,211
"58","01115","St. Clair County, Alabama","B15003_001",60248,189
"59","01117","Shelby County, Alabama","B15003_001",141263,93
"60","01119","Sumter County, Alabama","B15003_001",8244,163
"61","01121","Talladega County, Alabama","B15003_001",56103,133
"62","01123","Tallapoosa County, Alabama","B15003_001",28609,181
"63","01125","Tuscaloosa County, Alabama","B15003_001",125145,175
"64","01127","Walker County, Alabama","B15003_001",45197,170
"65","01129","Washington County, Alabama","B15003_001",11607,197
"66","01131","Wilcox County, Alabama","B15003_001",7242,52
"67","01133","Winston County, Alabama","B15003_001",17255,71
"68","02013","Aleutians East Borough, Alaska","B15003_001",2555,73
"69","02016","Aleutians West Census Area, Alaska","B15003_001",4147,100
"70","02020","Anchorage Municipality, Alaska","B15003_001",192310,NA
"71","02050","Bethel Census Area, Alaska","B15003_001",9578,65
"72","02060","Bristol Bay Borough, Alaska","B15003_001",650,62
"73","02068","Denali Borough, Alaska","B15003_001",1590,258
"74","02070","Dillingham Census Area, Alaska","B15003_001",2876,45
"75","02090","Fairbanks North Star Borough, Alaska","B15003_001",61853,73
"76","02100","Haines Borough, Alaska","B15003_001",1867,144
"77","02105","Hoonah-Angoon Census Area, Alaska","B15003_001",1651,64
"78","02110","Juneau City and Borough, Alaska","B15003_001",22346,116
"79","02122","Kenai Peninsula Borough, Alaska","B15003_001",39960,93
"80","02130","Ketchikan Gateway Borough, Alaska","B15003_001",9514,38
"81","02150","Kodiak Island Borough, Alaska","B15003_001",8968,150
"82","02158","Kusilvak Census Area, Alaska","B15003_001",3923,68
