"","GEOID","NAME","variable","estimate","moe"
"1","01001","Autauga County, Alabama","B15003_022",5316,473
"2","01003","Baldwin County, Alabama","B15003_022",29237,1509
"3","01005","Barbour County, Alabama","B15003_022",1403,184
"4","01007","Bibb County, Alabama","B15003_022",1289,367
"5","01009","Blount County, Alabama","B15003_022",3416,421
"6","01011","Bullock County, Alabama","B15003_022",485,178
"7","01013","Butler County, Alabama","B15003_022",1342,242
"8","01015","Calhoun County, Alabama","B15003_022",8092,639
"9","01017","Chambers County, Alabama","B15003_022",2131,300
"10","01019","Cherokee County, Alabama","B15003_022",1237,248
"11","01021","Chilton County, Alabama","B15003_022",2809,358
"12","01023","Choctaw County, Alabama","B15003_022",745,162
"13","01025","Clarke County, Alabama","B15003_022",1422,212
"14","01027","Clay County, Alabama","B15003_022",562,178
"15","01029","Cleburne County, Alabama","B15003_022",807,171
"16","01031","Coffee County, Alabama","B15003_022",5111,491
"17","01033","Colbert County, Alabama","B15003_022",4403,428
"18","01035","Conecuh County, Alabama","B15003_022",458,148
"19","01037","Coosa County, Alabama","B15003_022",611,167
"20","01039","Covington County, Alabama","B15003_022",2740,273
"21","01041","Crenshaw County, Alabama","B15003_022",1143,189
"22","01043","Cullman County, Alabama","B15003_022",5409,511
"23","01045","Dale County, Alabama","B15003_022",3688,363
"24","01047","Dallas County, Alabama","B15003_022",2181,248
"25","01049","DeKalb County, Alabama","B15003_022",3638,524
"26","01051","Elmore County, Alabama","B15003_022",7983,615
"27","01053","Escambia County, Alabama","B15003_022",1956,259
"28","01055","Etowah County, Alabama","B15003_022",7435,543
"29","01057","Fayette County, Alabama","B15003_022",1178,217
"30","01059","Franklin County, Alabama","B15003_022",1722,293
"31","01061","Geneva County, Alabama","B15003_022",1407,238
"32","01063","Greene County, Alabama","B15003_022",486,149
"33","01065","Hale County, Alabama","B15003_022",1008,174
"34","01067","Henry County, Alabama","B15003_022",1087,203
"35","01069","Houston County, Alabama","B15003_022",9418,298
"36","01071","Jackson County, Alabama","B15003_022",3192,467
"37","01073","Jefferson County, Alabama","B15003_022",86862,2060
"38","01075","Lamar County, Alabama","B15003_022",880,179
"39","01077","Lauderdale County, Alabama","B15003_022",8710,681
"40","01079","Lawrence County, Alabama","B15003_022",1671,280
"41","01081","Lee County, Alabama","B15003_022",18261,925
"42","01083","Limestone County, Alabama","B15003_022",10410,802
"43","01085","Lowndes County, Alabama","B15003_022",671,154
"44","01087","Macon County, Alabama","B15003_022",1332,174
"45","01089","Madison County, Alabama","B15003_022",60410,1531
"46","01091","Marengo County, Alabama","B15003_022",1315,206
"47","01093","Marion County, Alabama","B15003_022",1784,282
"48","01095","Marshall County, Alabama","B15003_022",7353,481
"49","01097","Mobile County, Alabama","B15003_022",42066,1354
"50","01099","Monroe County, Alabama","B15003_022",1079,230
"51","01101","Montgomery County, Alabama","B15003_022",28898,1067
"52","01103","Morgan County, Alabama","B15003_022",11822,656
"53","01105","Perry County, Alabama","B15003_022",512,191
"54","01107","Pickens County, Alabama","B15003_022",1248,217
"55","01109","Pike County, Alabama","B15003_022",2930,349
"56","01111","Randolph County, Alabama","B15003_022",1415,281
"57","01113","Russell County, Alabama","B15003_022",4092,460
"58","01115","St. Clair County, Alabama","B15003_022",6366,634
"59","01117","Shelby County, Alabama","B15003_022",39369,1286
"60","01119","Sumter County, Alabama","B15003_022",872,173
"61","01121","Talladega County, Alabama","B15003_022",4620,374
"62","01123","Tallapoosa County, Alabama","B15003_022",3474,371
"63","01125","Tuscaloosa County, Alabama","B15003_022",23230,1013
"64","01127","Walker County, Alabama","B15003_022",3014,405
"65","01129","Washington County, Alabama","B15003_022",785,201
"66","01131","Wilcox County, Alabama","B15003_022",578,103
"67","01133","Winston County, Alabama","B15003_022",1354,266
"68","02013","Aleutians East Borough, Alaska","B15003_022",196,60
"69","02016","Aleutians West Census Area, Alaska","B15003_022",517,71
"70","02020","Anchorage Municipality, Alaska","B15003_022",42216,1369
"71","02050","Bethel Census Area, Alaska","B15003_022",748,140
"72","02060","Bristol Bay Borough, Alaska","B15003_022",99,26
"73","02068","Denali Borough, Alaska","B15003_022",483,168
"74","02070","Dillingham Census Area, Alaska","B15003_022",285,51
"75","02090","Fairbanks North Star Borough, Alaska","B15003_022",12885,816
"76","02100","Haines Borough, Alaska","B15003_022",403,118
"77","02105","Hoonah-Angoon Census Area, Alaska","B15003_022",248,60
"78","02110","Juneau City and Borough, Alaska","B15003_022",5832,376
"79","02122","Kenai Peninsula Borough, Alaska","B15003_022",6139,428
"80","02130","Ketchikan Gateway Borough, Alaska","B15003_022",1534,136
"81","02150","Kodiak Island Borough, Alaska","B15003_022",1374,217
"82","02158","Kusilvak Census Area, Alaska","B15003_022",119,66
"83","02164","Lake and Peninsula Borough, Alaska","B15003_022",66,27
"84","02170","Matanuska-Susitna Borough, Alaska","B15003_022",8812,431
"85","02180","Nome Census Area, Alaska","B15003_022",534,112
"86","02185","North Slope Borough, Alaska","B15003_022",707,171
"87","02188","Northwest Arctic Borough, Alaska","B15003_022",292,67
"88","02195","Petersburg Borough, Alaska","B15003_022",429,82
"89","02198","Prince of Wales-Hyder Census Area, Alaska","B15003_022",478,60
"90","02220","Sitka City and Borough, Alaska","B15003_022",1210,129
"91","02230","Skagway Municipality, Alaska","B15003_022",203,64
"92","02240","Southeast Fairbanks Census Area, Alaska","B15003_022",449,94
