"","GEOID","County","Adult Population with Bachlors Degree Estimate","Adult Population with Bachlors Degree 90% Confidence Interval","Adult Population Estimate","Adult Population 90% Confidence Interval","Median Household Income Estimate","Median Household Income 90% Confidence Interval","PCT_Degree"
"1","01001","Autauga County, Alabama",5316,473,36757,117,55317,2838,0.144625513507631
"2","01003","Baldwin County, Alabama",29237,1509,143022,201,52562,1348,0.204423095747507
"3","01005","Barbour County, Alabama",1403,184,18434,72,33368,2551,0.0761093631333406
"4","01007","Bibb County, Alabama",1289,367,15859,173,43404,3431,0.0812787691531622
"5","01009","Blount County, Alabama",3416,421,39475,120,47412,2630,0.0865357821405953
"6","01011","Bullock County, Alabama",485,178,7377,176,29655,5376,0.0657448827436627
"7","01013","Butler County, Alabama",1342,242,13958,24,36326,2701,0.0961455795959306
"8","01015","Calhoun County, Alabama",8092,639,78975,120,43686,1491,0.102462804685027
"9","01017","Chambers County, Alabama",2131,300,23698,144,37342,2011,0.089923200270065
"10","01019","Cherokee County, Alabama",1237,248,18797,107,40041,2316,0.0658083736766505
"11","01021","Chilton County, Alabama",2809,358,29697,204,43501,2877,0.0945886789911439
"12","01023","Choctaw County, Alabama",745,162,9449,NA,32122,2797,0.0788443221504921
"13","01025","Clarke County, Alabama",1422,212,16921,NA,33827,2336,0.084037586431062
"14","01027","Clay County, Alabama",562,178,9455,109,37287,6507,0.059439450026441
"15","01029","Cleburne County, Alabama",807,171,10387,76,37396,5390,0.0776932704341966
"16","01031","Coffee County, Alabama",5111,491,34736,112,49821,1945,0.147138415476739
"17","01033","Colbert County, Alabama",4403,428,38423,96,45477,1959,0.114592822007652
"18","01035","Conecuh County, Alabama",458,148,8772,97,30434,3446,0.0522115823073415
"19","01037","Coosa County, Alabama",611,167,8117,109,34792,3587,0.0752741160527288
"20","01039","Covington County, Alabama",2740,273,26416,116,39467,2392,0.103725015142338
"21","01041","Crenshaw County, Alabama",1143,189,9588,69,38937,3177,0.119211514392991
"22","01043","Cullman County, Alabama",5409,511,56720,175,40997,1715,0.0953631875881523
"23","01045","Dale County, Alabama",3688,363,33288,116,44711,2010,0.110790675318433
"24","01047","Dallas County, Alabama",2181,248,26849,67,30065,1775,0.0812320756825208
"25","01049","DeKalb County, Alabama",3638,524,47694,140,38842,2154,0.076277938524762
"26","01051","Elmore County, Alabama",7983,615,55278,131,54981,2614,0.144415499837187
"27","01053","Escambia County, Alabama",1956,259,25896,111,35026,2265,0.0755329008341057
"28","01055","Etowah County, Alabama",7435,543,71745,195,42064,1487,0.103630915046345
"29","01057","Fayette County, Alabama",1178,217,11715,96,36541,2175,0.100554844216816
"30","01059","Franklin County, Alabama",1722,293,20734,166,39501,2912,0.0830519918973666
"31","01061","Geneva County, Alabama",1407,238,18666,86,39293,2810,0.0753776920604307
"32","01063","Greene County, Alabama",486,149,5830,47,20954,3315,0.0833619210977702
"33","01065","Hale County, Alabama",1008,174,10161,59,34679,2808,0.0992028343666962
"34","01067","Henry County, Alabama",1087,203,12123,100,45569,3006,0.0896642745195084
"35","01069","Houston County, Alabama",9418,298,71238,42,42803,919,0.132204722198826
"36","01071","Jackson County, Alabama",3192,467,37016,151,39281,1994,0.086232980332829
"37","01073","Jefferson County, Alabama",86862,2060,447048,109,49321,913,0.194301283083696
"38","01075","Lamar County, Alabama",880,179,9938,79,36016,2778,0.088549003823707
"39","01077","Lauderdale County, Alabama",8710,681,63168,125,44888,1370,0.137886271529889
"40","01079","Lawrence County, Alabama",1671,280,23370,151,43779,3181,0.0715019255455712
"41","01081","Lee County, Alabama",18261,925,92452,97,47564,1712,0.197518712412928
"42","01083","Limestone County, Alabama",10410,802,63026,242,52831,2263,0.165169929870212
"43","01085","Lowndes County, Alabama",671,154,7065,45,29785,4076,0.0949752300070771
"44","01087","Macon County, Alabama",1332,174,12280,60,32308,2946,0.108469055374593
"45","01089","Madison County, Alabama",60410,1531,239756,62,61318,1430,0.251964497238859
"46","01091","Marengo County, Alabama",1315,206,13557,138,32255,3045,0.0969978608836763
"47","01093","Marion County, Alabama",1784,282,21406,104,35719,2063,0.0833411193123423
"48","01095","Marshall County, Alabama",7353,481,63248,70,41104,1311,0.116256640526183
"49","01097","Mobile County, Alabama",42066,1354,275878,150,45802,1034,0.152480444254344
"50","01099","Monroe County, Alabama",1079,230,14794,81,26036,3726,0.0729349736379613
"51","01101","Montgomery County, Alabama",28898,1067,149318,53,46545,1309,0.193533264576273
"52","01103","Morgan County, Alabama",11822,656,82094,93,47529,1678,0.144005652057398
"53","01105","Perry County, Alabama",512,191,5858,181,22973,3833,0.0874018436326391
"54","01107","Pickens County, Alabama",1248,217,14241,91,36220,2410,0.0876342953444281
"55","01109","Pike County, Alabama",2930,349,19657,262,35684,2430,0.149056315816249
"56","01111","Randolph County, Alabama",1415,281,15594,126,39485,3413,0.0907400282159805
"57","01113","Russell County, Alabama",4092,460,38710,211,38988,2253,0.105709119090674
"58","01115","St. Clair County, Alabama",6366,634,60248,189,53483,2225,0.105663258531404
"59","01117","Shelby County, Alabama",39369,1286,141263,93,74063,1255,0.27869293445559
"60","01119","Sumter County, Alabama",872,173,8244,163,21663,1677,0.105773896166909
"61","01121","Talladega County, Alabama",4620,374,56103,133,39219,2277,0.082348537511363
"62","01123","Tallapoosa County, Alabama",3474,371,28609,181,42181,2590,0.121430319130344
"63","01125","Tuscaloosa County, Alabama",23230,1013,125145,175,50513,1043,0.185624675376563
"64","01127","Walker County, Alabama",3014,405,45197,170,38872,1774,0.0666858419806624
"65","01129","Washington County, Alabama",785,201,11607,197,42185,3300,0.0676316016197122
"66","01131","Wilcox County, Alabama",578,103,7242,52,27012,3249,0.07981220657277
"67","01133","Winston County, Alabama",1354,266,17255,71,35362,2755,0.0784700086931324
"68","02013","Aleutians East Borough, Alaska",196,60,2555,73,66607,2827,0.0767123287671233
"69","02016","Aleutians West Census Area, Alaska",517,71,4147,100,85192,5274,0.124668435013263
"70","02020","Anchorage Municipality, Alaska",42216,1369,192310,NA,82271,1398,0.219520565753211
"71","02050","Bethel Census Area, Alaska",748,140,9578,65,53853,2386,0.0780956358321153
"72","02060","Bristol Bay Borough, Alaska",99,26,650,62,79500,10833,0.152307692307692
"73","02068","Denali Borough, Alaska",483,168,1590,258,83295,6362,0.30377358490566
"74","02070","Dillingham Census Area, Alaska",285,51,2876,45,58708,5073,0.099095966620306
"75","02090","Fairbanks North Star Borough, Alaska",12885,816,61853,73,76250,2761,0.208316492328586
"76","02100","Haines Borough, Alaska",403,118,1867,144,70640,21959,0.215854311730048
"77","02105","Hoonah-Angoon Census Area, Alaska",248,60,1651,64,57900,6783,0.150211992731678
"78","02110","Juneau City and Borough, Alaska",5832,376,22346,116,90749,3559,0.260986306274054
"79","02122","Kenai Peninsula Borough, Alaska",6139,428,39960,93,65279,2335,0.153628628628629
"80","02130","Ketchikan Gateway Borough, Alaska",1534,136,9514,38,67321,2867,0.16123607315535
"81","02150","Kodiak Island Borough, Alaska",1374,217,8968,150,74167,11354,0.15321141837645
"82","02158","Kusilvak Census Area, Alaska",119,66,3923,68,36468,2049,0.0303339281162376
"83","02164","Lake and Peninsula Borough, Alaska",66,27,789,189,45208,3882,0.0836501901140684
"84","02170","Matanuska-Susitna Borough, Alaska",8812,431,64554,81,74887,1813,0.136505871053691
"85","02180","Nome Census Area, Alaska",534,112,5443,50,53821,1734,0.098107661216241
"86","02185","North Slope Borough, Alaska",707,171,6490,68,77266,11624,0.108936825885978
"87","02188","Northwest Arctic Borough, Alaska",292,67,4095,51,61533,2830,0.0713064713064713
"88","02195","Petersburg Borough, Alaska",429,82,2179,101,63490,2295,0.196879302432308
"89","02198","Prince of Wales-Hyder Census Area, Alaska",478,60,4455,15,52114,2833,0.107295173961841
"90","02220","Sitka City and Borough, Alaska",1210,129,6168,55,70765,6307,0.196173800259403
"91","02230","Skagway Municipality, Alaska",203,64,829,82,70673,6701,0.244873341375151
"92","02240","Southeast Fairbanks Census Area, Alaska",449,94,4473,70,63866,6607,0.100380058126537
"93","02261","Valdez-Cordova Census Area, Alaska",1475,269,6392,153,86019,5533,0.23075719649562
"94","02275","Wrangell City and Borough, Alaska",239,61,1857,74,56094,5257,0.128702207862143
"95","02282","Yakutat City and Borough, Alaska",81,62,480,61,64583,11434,0.16875
"96","02290","Yukon-Koyukuk Census Area, Alaska",255,49,3450,21,37819,2854,0.0739130434782609
"97","04001","Apache County, Arizona",3340,387,43766,100,32360,1213,0.0763149476762784
"98","04003","Cochise County, Arizona",12916,728,87509,148,47847,1539,0.147596247243141
"99","04005","Coconino County, Arizona",16933,990,80822,226,53523,2500,0.2095097869392
"100","04007","Gila County, Arizona",4513,538,38632,97,41179,1678,0.116820252640298
"101","04009","Graham County, Arizona",2120,246,23350,81,48173,2637,0.0907922912205568
"102","04011","Greenlee County, Arizona",560,128,5834,56,56298,8257,0.0959890298251628
"103","04012","La Paz County, Arizona",1145,316,15536,187,36479,4789,0.0736997940267765
"104","04013","Maricopa County, Arizona",546841,4799,2730613,NA,58580,350,0.200263091108114
"105","04015","Mohave County, Arizona",12194,904,153930,175,41567,796,0.0792178262846749
"106","04017","Navajo County, Arizona",6428,504,68236,74,38798,1774,0.0942024737675128
"107","04019","Pima County, Arizona",121598,2290,666989,94,48676,534,0.182308853669251
"108","04021","Pinal County, Arizona",32987,1270,276364,353,52628,891,0.119360698209608
"109","04023","Santa Cruz County, Arizona",4380,516,28877,120,39630,2778,0.15167780586626
"110","04025","Yavapai County, Arizona",24698,1240,168134,139,48259,1287,0.146894738720306
"111","04027","Yuma County, Arizona",11782,824,127583,174,43253,1376,0.0923477265779924
"112","05001","Arkansas County, Arkansas",1241,178,12722,135,38532,2759,0.0975475554158151
"113","05003","Ashley County, Arkansas",1333,255,14166,104,36407,2317,0.0940985458139207
"114","05005","Baxter County, Arkansas",3914,396,31590,60,40072,1602,0.123899968344413
"115","05007","Benton County, Arkansas",34624,1239,163405,36,61271,1146,0.211890701018941
"116","05009","Boone County, Arkansas",2721,287,25897,133,40727,1497,0.10507008533807
"117","05011","Bradley County, Arkansas",736,170,7530,101,36310,3985,0.097742363877822
"118","05013","Calhoun County, Arkansas",302,105,3719,53,37225,5419,0.0812046248991664
"119","05015","Carroll County, Arkansas",2302,352,19549,114,39686,2195,0.117755383907105
"120","05017","Chicot County, Arkansas",727,143,7711,107,32412,3098,0.0942808974192712
"121","05019","Clark County, Arkansas",2165,281,13186,101,37144,2739,0.164189291672986
"122","05021","Clay County, Arkansas",725,152,10667,27,32219,2195,0.0679666260429362
"123","05023","Cleburne County, Arkansas",1800,293,18802,101,42312,2518,0.0957344963301776
"124","05025","Cleveland County, Arkansas",641,124,5735,49,44840,3699,0.11176983435048
"125","05027","Columbia County, Arkansas",1997,307,14863,76,37072,3441,0.13436049249815
"126","05029","Conway County, Arkansas",1500,254,14496,108,39638,3317,0.103476821192053
"127","05031","Craighead County, Arkansas",11235,749,66594,157,45672,1662,0.168708892693035
"128","05033","Crawford County, Arkansas",4184,484,41681,128,43504,1870,0.100381468774741
"129","05035","Crittenden County, Arkansas",3440,359,31104,45,38558,3004,0.11059670781893
"130","05037","Cross County, Arkansas",905,138,11552,86,41081,2555,0.0783414127423823
"131","05039","Dallas County, Arkansas",569,141,5331,105,35794,4141,0.106734196210842
"132","05041","Desha County, Arkansas",722,135,7981,71,27036,2882,0.0904648540283172
"133","05043","Drew County, Arkansas",1399,232,11647,137,36092,2533,0.120116768266506
"134","05045","Faulkner County, Arkansas",13732,680,73744,172,50316,2016,0.186211759600781
"135","05047","Franklin County, Arkansas",1060,248,12127,126,39472,2697,0.0874082625546302
"136","05049","Fulton County, Arkansas",687,191,8828,47,36051,3683,0.0778205709107386
"137","05051","Garland County, Arkansas",9096,787,70624,151,41672,1593,0.128794743996375
"138","05053","Grant County, Arkansas",1577,262,12460,99,49968,3977,0.126565008025682
"139","05055","Greene County, Arkansas",3204,410,29424,144,45566,3644,0.108890701468189
"140","05057","Hempstead County, Arkansas",1228,221,14441,99,38701,3965,0.0850356623502528
"141","05059","Hot Spring County, Arkansas",2077,314,23757,180,40626,1975,0.0874268636612367
"142","05061","Howard County, Arkansas",1023,168,8938,129,34851,2771,0.114455135377042
"143","05063","Independence County, Arkansas",2861,343,25097,148,39945,2414,0.113997688966809
"144","05065","Izard County, Arkansas",874,178,10150,104,39135,2916,0.0861083743842364
"145","05067","Jackson County, Arkansas",755,167,12454,115,32783,2974,0.0606230929821744
"146","05069","Jefferson County, Arkansas",5136,419,47738,88,37630,1469,0.107587247056852
"147","05071","Johnson County, Arkansas",1714,263,17133,138,35758,1574,0.100040856826008
"148","05073","Lafayette County, Arkansas",612,129,5088,85,32500,3065,0.120283018867925
"149","05075","Lawrence County, Arkansas",1198,173,11386,52,37603,2540,0.105216933075707
"150","05077","Lee County, Arkansas",395,121,6893,120,27901,4074,0.0573045118235892
"151","05079","Lincoln County, Arkansas",576,163,10268,106,38873,8291,0.0560966108297624
"152","05081","Little River County, Arkansas",661,128,8956,78,36963,4212,0.0738052702099151
"153","05083","Logan County, Arkansas",1324,198,15234,114,37982,2324,0.0869108572928975
"154","05085","Lonoke County, Arkansas",6732,594,46871,185,57290,2075,0.143628256277869
"155","05087","Madison County, Arkansas",793,149,10914,66,42894,3325,0.0726589701301081
"156","05089","Marion County, Arkansas",1270,295,12502,67,36113,2636,0.101583746600544
"157","05091","Miller County, Arkansas",3211,452,29694,120,41862,1885,0.108136323836465
"158","05093","Mississippi County, Arkansas",2227,322,27903,108,36417,1718,0.07981220657277
"159","05095","Monroe County, Arkansas",379,83,5193,80,31584,3667,0.0729828615443867
"160","05097","Montgomery County, Arkansas",511,116,6762,42,35252,3596,0.0755693581780538
"161","05099","Nevada County, Arkansas",676,172,5855,104,36995,5674,0.115456874466268
"162","05101","Newton County, Arkansas",582,150,5795,52,38134,4984,0.100431406384815
"163","05103","Ouachita County, Arkansas",1549,274,16834,127,32136,3003,0.0920161577759297
"164","05105","Perry County, Arkansas",692,168,7202,136,46168,3448,0.0960844209941683
"165","05107","Phillips County, Arkansas",863,180,12482,85,26652,1395,0.0691395609677936
"166","05109","Pike County, Arkansas",609,147,7609,76,36893,2512,0.0800367985280589
"167","05111","Poinsett County, Arkansas",1160,211,16332,90,37487,2704,0.071026206220916
"168","05113","Polk County, Arkansas",1110,178,14096,55,33870,2290,0.0787457434733258
"169","05115","Pope County, Arkansas",5826,471,39964,182,40668,2212,0.145781203082775
"170","05117","Prairie County, Arkansas",602,120,6009,39,41244,2365,0.100183058745216
"171","05119","Pulaski County, Arkansas",55304,1635,264775,107,48850,1099,0.208871683504863
"172","05121","Randolph County, Arkansas",1182,231,12164,68,35930,2002,0.0971719829003617
"173","05123","St. Francis County, Arkansas",998,219,18484,54,33102,2378,0.0539926422852196
"174","05125","Saline County, Arkansas",13140,772,80044,206,58985,2015,0.164159712158313
"175","05127","Scott County, Arkansas",368,122,7143,148,37396,4756,0.0515189696206076
"176","05129","Searcy County, Arkansas",429,150,5841,98,36716,4199,0.0734463276836158
"177","05131","Sebastian County, Arkansas",11009,795,84291,161,40932,1755,0.130607063624824
"178","05133","Sevier County, Arkansas",699,169,10640,54,43675,2792,0.0656954887218045
"179","05135","Sharp County, Arkansas",762,165,12317,56,31792,1931,0.0618657140537469
"180","05137","Stone County, Arkansas",698,211,9127,48,33091,4191,0.0764763887367152
"181","05139","Union County, Arkansas",3928,422,27264,136,41106,2148,0.144072769953052
"182","05141","Van Buren County, Arkansas",946,153,12321,80,34428,2409,0.0767794821848876
"183","05143","Washington County, Arkansas",25446,1189,134615,211,47452,1026,0.189027968651339
"184","05145","White County, Arkansas",6153,541,50686,251,44074,3056,0.121394467900406
"185","05147","Woodruff County, Arkansas",436,104,4827,40,30097,3976,0.0903252537808162
"186","05149","Yell County, Arkansas",1415,238,14546,109,39696,2480,0.0972776020899216
"187","06001","Alameda County, California",293137,3424,1139149,NA,85743,940,0.257329813746929
