"","GEOID","NAME","variable","estimate","moe"
"1","01001","Autauga County, Alabama","B19013_001",55317,2838
"2","01003","Baldwin County, Alabama","B19013_001",52562,1348
"3","01005","Barbour County, Alabama","B19013_001",33368,2551
"4","01007","Bibb County, Alabama","B19013_001",43404,3431
"5","01009","Blount County, Alabama","B19013_001",47412,2630
"6","01011","Bullock County, Alabama","B19013_001",29655,5376
"7","01013","Butler County, Alabama","B19013_001",36326,2701
"8","01015","Calhoun County, Alabama","B19013_001",43686,1491
"9","01017","Chambers County, Alabama","B19013_001",37342,2011
"10","01019","Cherokee County, Alabama","B19013_001",40041,2316
"11","01021","Chilton County, Alabama","B19013_001",43501,2877
"12","01023","Choctaw County, Alabama","B19013_001",32122,2797
"13","01025","Clarke County, Alabama","B19013_001",33827,2336
"14","01027","Clay County, Alabama","B19013_001",37287,6507
"15","01029","Cleburne County, Alabama","B19013_001",37396,5390
"16","01031","Coffee County, Alabama","B19013_001",49821,1945
"17","01033","Colbert County, Alabama","B19013_001",45477,1959
"18","01035","Conecuh County, Alabama","B19013_001",30434,3446
"19","01037","Coosa County, Alabama","B19013_001",34792,3587
"20","01039","Covington County, Alabama","B19013_001",39467,2392
"21","01041","Crenshaw County, Alabama","B19013_001",38937,3177
"22","01043","Cullman County, Alabama","B19013_001",40997,1715
"23","01045","Dale County, Alabama","B19013_001",44711,2010
"24","01047","Dallas County, Alabama","B19013_001",30065,1775
"25","01049","DeKalb County, Alabama","B19013_001",38842,2154
"26","01051","Elmore County, Alabama","B19013_001",54981,2614
"27","01053","Escambia County, Alabama","B19013_001",35026,2265
"28","01055","Etowah County, Alabama","B19013_001",42064,1487
"29","01057","Fayette County, Alabama","B19013_001",36541,2175
"30","01059","Franklin County, Alabama","B19013_001",39501,2912
"31","01061","Geneva County, Alabama","B19013_001",39293,2810
"32","01063","Greene County, Alabama","B19013_001",20954,3315
"33","01065","Hale County, Alabama","B19013_001",34679,2808
"34","01067","Henry County, Alabama","B19013_001",45569,3006
"35","01069","Houston County, Alabama","B19013_001",42803,919
"36","01071","Jackson County, Alabama","B19013_001",39281,1994
"37","01073","Jefferson County, Alabama","B19013_001",49321,913
"38","01075","Lamar County, Alabama","B19013_001",36016,2778
"39","01077","Lauderdale County, Alabama","B19013_001",44888,1370
"40","01079","Lawrence County, Alabama","B19013_001",43779,3181
"41","01081","Lee County, Alabama","B19013_001",47564,1712
"42","01083","Limestone County, Alabama","B19013_001",52831,2263
"43","01085","Lowndes County, Alabama","B19013_001",29785,4076
"44","01087","Macon County, Alabama","B19013_001",32308,2946
"45","01089","Madison County, Alabama","B19013_001",61318,1430
"46","01091","Marengo County, Alabama","B19013_001",32255,3045
"47","01093","Marion County, Alabama","B19013_001",35719,2063
"48","01095","Marshall County, Alabama","B19013_001",41104,1311
"49","01097","Mobile County, Alabama","B19013_001",45802,1034
"50","01099","Monroe County, Alabama","B19013_001",26036,3726
"51","01101","Montgomery County, Alabama","B19013_001",46545,1309
"52","01103","Morgan County, Alabama","B19013_001",47529,1678
"53","01105","Perry County, Alabama","B19013_001",22973,3833
"54","01107","Pickens County, Alabama","B19013_001",36220,2410
"55","01109","Pike County, Alabama","B19013_001",35684,2430
"56","01111","Randolph County, Alabama","B19013_001",39485,3413
"57","01113","Russell County, Alabama","B19013_001",38988,2253
"58","01115","St. Clair County, Alabama","B19013_001",53483,2225
"59","01117","Shelby County, Alabama","B19013_001",74063,1255
"60","01119","Sumter County, Alabama","B19013_001",21663,1677
"61","01121","Talladega County, Alabama","B19013_001",39219,2277
"62","01123","Tallapoosa County, Alabama","B19013_001",42181,2590
